,File,Line,CWE
86997,CWE758_Undefined_Behavior__char_alloca_use_01.c,24,CWE758_Undefined_Behavior
86998,CWE758_Undefined_Behavior__char_alloca_use_02.c,26,CWE758_Undefined_Behavior
86999,CWE758_Undefined_Behavior__char_alloca_use_03.c,26,CWE758_Undefined_Behavior
87000,CWE758_Undefined_Behavior__char_alloca_use_04.c,32,CWE758_Undefined_Behavior
87001,CWE758_Undefined_Behavior__char_alloca_use_05.c,32,CWE758_Undefined_Behavior
87002,CWE758_Undefined_Behavior__char_alloca_use_06.c,31,CWE758_Undefined_Behavior
87003,CWE758_Undefined_Behavior__char_alloca_use_07.c,31,CWE758_Undefined_Behavior
87004,CWE758_Undefined_Behavior__char_alloca_use_08.c,39,CWE758_Undefined_Behavior
87005,CWE758_Undefined_Behavior__char_alloca_use_09.c,26,CWE758_Undefined_Behavior
87006,CWE758_Undefined_Behavior__char_alloca_use_10.c,26,CWE758_Undefined_Behavior
87007,CWE758_Undefined_Behavior__char_alloca_use_11.c,26,CWE758_Undefined_Behavior
87008,CWE758_Undefined_Behavior__char_alloca_use_12.c,26,CWE758_Undefined_Behavior
87009,CWE758_Undefined_Behavior__char_alloca_use_13.c,26,CWE758_Undefined_Behavior
87010,CWE758_Undefined_Behavior__char_alloca_use_14.c,26,CWE758_Undefined_Behavior
87011,CWE758_Undefined_Behavior__char_alloca_use_15.c,27,CWE758_Undefined_Behavior
87012,CWE758_Undefined_Behavior__char_alloca_use_16.c,26,CWE758_Undefined_Behavior
87013,CWE758_Undefined_Behavior__char_alloca_use_17.c,27,CWE758_Undefined_Behavior
87014,CWE758_Undefined_Behavior__char_alloca_use_18.c,26,CWE758_Undefined_Behavior
87015,CWE758_Undefined_Behavior__char_malloc_use_01.c,25,CWE758_Undefined_Behavior
87016,CWE758_Undefined_Behavior__char_malloc_use_02.c,27,CWE758_Undefined_Behavior
87017,CWE758_Undefined_Behavior__char_malloc_use_03.c,27,CWE758_Undefined_Behavior
87018,CWE758_Undefined_Behavior__char_malloc_use_04.c,33,CWE758_Undefined_Behavior
87019,CWE758_Undefined_Behavior__char_malloc_use_05.c,33,CWE758_Undefined_Behavior
87020,CWE758_Undefined_Behavior__char_malloc_use_06.c,32,CWE758_Undefined_Behavior
87021,CWE758_Undefined_Behavior__char_malloc_use_07.c,32,CWE758_Undefined_Behavior
87022,CWE758_Undefined_Behavior__char_malloc_use_08.c,40,CWE758_Undefined_Behavior
87023,CWE758_Undefined_Behavior__char_malloc_use_09.c,27,CWE758_Undefined_Behavior
87024,CWE758_Undefined_Behavior__char_malloc_use_10.c,27,CWE758_Undefined_Behavior
87025,CWE758_Undefined_Behavior__char_malloc_use_11.c,27,CWE758_Undefined_Behavior
87026,CWE758_Undefined_Behavior__char_malloc_use_12.c,27,CWE758_Undefined_Behavior
87027,CWE758_Undefined_Behavior__char_malloc_use_13.c,27,CWE758_Undefined_Behavior
87028,CWE758_Undefined_Behavior__char_malloc_use_14.c,27,CWE758_Undefined_Behavior
87029,CWE758_Undefined_Behavior__char_malloc_use_15.c,28,CWE758_Undefined_Behavior
87030,CWE758_Undefined_Behavior__char_malloc_use_16.c,27,CWE758_Undefined_Behavior
87031,CWE758_Undefined_Behavior__char_malloc_use_17.c,28,CWE758_Undefined_Behavior
87032,CWE758_Undefined_Behavior__char_malloc_use_18.c,27,CWE758_Undefined_Behavior
87033,CWE758_Undefined_Behavior__char_new_use_01.cpp,27,CWE758_Undefined_Behavior
87034,CWE758_Undefined_Behavior__char_new_use_02.cpp,29,CWE758_Undefined_Behavior
87035,CWE758_Undefined_Behavior__char_new_use_03.cpp,29,CWE758_Undefined_Behavior
87036,CWE758_Undefined_Behavior__char_new_use_04.cpp,35,CWE758_Undefined_Behavior
87037,CWE758_Undefined_Behavior__char_new_use_05.cpp,35,CWE758_Undefined_Behavior
87038,CWE758_Undefined_Behavior__char_new_use_06.cpp,34,CWE758_Undefined_Behavior
87039,CWE758_Undefined_Behavior__char_new_use_07.cpp,34,CWE758_Undefined_Behavior
87040,CWE758_Undefined_Behavior__char_new_use_08.cpp,42,CWE758_Undefined_Behavior
87041,CWE758_Undefined_Behavior__char_new_use_09.cpp,29,CWE758_Undefined_Behavior
87042,CWE758_Undefined_Behavior__char_new_use_10.cpp,29,CWE758_Undefined_Behavior
87043,CWE758_Undefined_Behavior__char_new_use_11.cpp,29,CWE758_Undefined_Behavior
87044,CWE758_Undefined_Behavior__char_new_use_12.cpp,29,CWE758_Undefined_Behavior
87045,CWE758_Undefined_Behavior__char_new_use_13.cpp,29,CWE758_Undefined_Behavior
87046,CWE758_Undefined_Behavior__char_new_use_14.cpp,29,CWE758_Undefined_Behavior
87047,CWE758_Undefined_Behavior__char_new_use_15.cpp,30,CWE758_Undefined_Behavior
87048,CWE758_Undefined_Behavior__char_new_use_16.cpp,29,CWE758_Undefined_Behavior
87049,CWE758_Undefined_Behavior__char_new_use_17.cpp,30,CWE758_Undefined_Behavior
87050,CWE758_Undefined_Behavior__char_new_use_18.cpp,29,CWE758_Undefined_Behavior
87051,CWE758_Undefined_Behavior__char_pointer_alloca_use_01.c,24,CWE758_Undefined_Behavior
87052,CWE758_Undefined_Behavior__char_pointer_alloca_use_02.c,26,CWE758_Undefined_Behavior
87053,CWE758_Undefined_Behavior__char_pointer_alloca_use_03.c,26,CWE758_Undefined_Behavior
87054,CWE758_Undefined_Behavior__char_pointer_alloca_use_04.c,32,CWE758_Undefined_Behavior
87055,CWE758_Undefined_Behavior__char_pointer_alloca_use_05.c,32,CWE758_Undefined_Behavior
87056,CWE758_Undefined_Behavior__char_pointer_alloca_use_06.c,31,CWE758_Undefined_Behavior
87057,CWE758_Undefined_Behavior__char_pointer_alloca_use_07.c,31,CWE758_Undefined_Behavior
87058,CWE758_Undefined_Behavior__char_pointer_alloca_use_08.c,39,CWE758_Undefined_Behavior
87059,CWE758_Undefined_Behavior__char_pointer_alloca_use_09.c,26,CWE758_Undefined_Behavior
87060,CWE758_Undefined_Behavior__char_pointer_alloca_use_10.c,26,CWE758_Undefined_Behavior
87061,CWE758_Undefined_Behavior__char_pointer_alloca_use_11.c,26,CWE758_Undefined_Behavior
87062,CWE758_Undefined_Behavior__char_pointer_alloca_use_12.c,26,CWE758_Undefined_Behavior
87063,CWE758_Undefined_Behavior__char_pointer_alloca_use_13.c,26,CWE758_Undefined_Behavior
